date,product,category,sales,quantity,region
2024-01-01,Laptop,Electronics,1200,2,North
2024-01-02,Mouse,Electronics,25,5,South
2024-01-03,Keyboard,Electronics,75,3,East
2024-01-04,Monitor,Electronics,300,1,West
2024-01-05,Desk,Furniture,450,1,North
2024-01-06,Chair,Furniture,250,2,South
2024-01-07,Laptop,Electronics,1200,1,East
2024-01-08,Desk,Furniture,450,1,West
2024-01-09,Mouse,Electronics,25,10,North
2024-01-10,Monitor,Electronics,300,2,South
2024-01-15,Laptop,Electronics,1200,3,North
2024-01-16,Chair,Furniture,250,4,East
2024-01-17,Keyboard,Electronics,75,5,West
2024-01-18,Desk,Furniture,450,2,North
2024-01-19,Mouse,Electronics,25,8,South
2024-01-20,Monitor,Electronics,300,1,East
2024-02-01,Laptop,Electronics,1200,2,West
2024-02-02,Chair,Furniture,250,3,North
2024-02-03,Keyboard,Electronics,75,4,South
2024-02-04,Desk,Furniture,450,1,East
2024-02-05,Mouse,Electronics,25,12,West
2024-02-06,Monitor,Electronics,300,2,North
2024-02-07,Laptop,Electronics,1200,1,South
2024-02-08,Chair,Furniture,250,2,East
2024-02-09,Keyboard,Electronics,75,6,West
2024-02-10,Desk,Furniture,450,2,North
